数据库名,zhdp,,,
,,,,
用户表,user,,,
字段,英文名,参数,默认,描述
id,id,,,
用户名,name,,,
密码,password,,,
token,token,,,每次登录都会生成的token，用来验证用户身份
,,,,
产品表,product,,,
字段,英文名,参数,默认,描述
id,id,,,
用户id,user_id,,,
名称,name,,,
描述,desc,,,
类型,type,"0,1",0,0传感器 1继电器(用来在手机端显示，如果是继电器就直接在页面显示开关按钮)
,,,,
产品字段表,product_field,,,
字段,英文名,参数,默认,描述
id,id,,,
功能名称,name,,,让用户看的
所属产品id,product_id,,,所属产品
字段名,field,,,如果设备有最高，最低，那么就创建多个产品字段(上传数据需要对应字段)
字段(值)类型,type,,,"number,varchar,int,enum等等(设置值的类型)"
字段默认值,default,,,"如 0,1 或其他数值(初始化设备的时候用到)"
共同字段,common_field,,,如果一个设备有最高和最低的两个参数，通过共同字段把他们显示到一行
字段显示排序,common_field_sort,,,"通过共同字段(功能),进行判断先后的显示"
字段排序,sort,,,字段显示先后排序(上面的是相同字段排序，这个是产品下字段的排序)
描述,desc,,,
,,,,
设备区域表,device_region,,,用来设置不同地方的大棚等
字段,英文名,参数,默认,描述
id,id,,,
用户id,user_id,,,
区域名称,name,,,
,,,,
设备表,device,,,设备是产品的实例
字段,英文名,参数,默认,描述
id,id,,,
唯一标识,token,,,可以通过该标识更新该设备的参数状态
用户id,user_id,,,
所属产品id,product_id,,,
名称,name,,,
描述,desc,,,
类型,type,"0,1",0,0传感器 1继电器(用来在手机端显示，如果是继电器就直接在页面显示开关按钮)
,,,,
设备字段表,device_field,,,
字段,英文名,参数,默认,描述
id,id,,,
功能名称,name,,,让用户看的
所属设备id,device_id,,,
字段名,field,,,如果设备有最高，最低，那么就创建多个产品字段(上传数据需要对应字段)
值,value,,,如果是继电器开关，那么他就是 0，1  0关 1 开
字段(值)类型,type,,,"number,varchar,int,等等"
共同字段,common_field,,,如果一个设备有最高和最低的两个参数，通过共同字段把他们显示到一行
字段显示排序,common_field_sort,,,"通过共同字段(功能),进行判断先后的显示"
字段排序,sort,,,字段显示先后排序(上面的是相同字段排序，这个是产品下字段的排序)
描述,desc,,,
,,,,
设备日志表,device_log,,,每次设备上传数据更新设备字段的同时还会写入日志
字段,英文名,参数,默认,描述
id,id,,,
功能名称,name,,,让用户看的
所属设备id,device_id,,,
字段名,field,,,如果设备有最高，最低，那么就创建多个产品字段(上传数据需要对应字段)
值,value,,,如果是继电器开关，那么他就是 0，1  0关 1 开
共同字段,common_field,,,如果一个设备有最高和最低的两个参数，通过共同字段把他们显示到一行
字段显示排序,common_field_sort,,,"通过共同字段(功能),进行判断先后的显示"
字段排序,sort,,,字段显示先后排序(上面的是相同字段排序，这个是产品下字段的排序)
